taxon_phylum,taxon_class,taxon_order,D1-05_19-201,D1-05_23-203,D1-05_28-205,D1-06_02-207,D1-06_06-209,D1-06_16-214,D1-06_18-216,D1-06_23-219,D1-07_02-232,D2-05_09-179,D2-05_14-181,D2-08_15-241,D2-08_22-243,D2-08_29-245,D2-09_05-248,D2-09_12-262,D2-09_19-264,D2-09_26-266,D2-10_03-267,L1-04_30-174,L1-05_05-176,L1-06_09-211,L1-06_12-213,L1-07_22-235,L1-07_23-236,L1-07_24-237,L1-07_25-234,L1-07_25-238,L1-07_28-240,L1-08_15-242,L1-08_22-244,L1-08_29-246,L1-09_05-247,L1-09_12-261,L1-09_19-263,L1-09_26-265,L2-04_20-171,L2-04_25-173,L2-04_30-175,L2-05_05-177,L2-05_09-178,L2-05_14-180,L3-04_25-172,L4-05_19-200,L4-05_23-202,L4-05_28-204,L4-06_02-206,L4-06_06-208,L4-06_16-215,L4-06_18-217,L4-06_20-218,L4-06_23-220,L4-07_02-233,L4-07_07-255,L4-07_09-258,L4-07_11-260,L5-07_07-256,L5-07_09-257,L5-07_11-259,RF-06_09-210,RF-06_12-212
Proteobacteria,Alphaproteobacteria,Rhizobiales,5.01,2.5,6.2,4.18,4.14,2.45,3.86,3.14,2.18,4.17,3.33,4.82,7.06,8.19,3.94,8.3,4.95,2.49,3.31,1.91,1.41,1.47,1.63,8.74,10.72,5.78,3.2,9.12,1.85,1.29,0.72,1.92,1.2,2.15,2.51,1.4,2.76,1.63,1.84,0.89,1.58,1.63,3.01,3.83,1.02,2.69,0.86,1.12,2.06,1.74,4.38,1.39,2.22,2.04,2.56,3.77,0.64,3.96,1.41,2.15,0.4
Proteobacteria,Alphaproteobacteria,Rhodobacterales,0.53,0.24,0.95,0.61,0.65,0.51,0.33,3.08,4.67,0.52,0.34,0.73,0.75,0.81,0.47,0.57,0.42,0.16,0.49,0.73,0.66,0.37,0.79,0.5,0.91,0.67,1.18,1.04,0.54,0.5,0.2,0.7,0.84,1.18,1.01,0.76,1.71,0.59,0.6,0.4,0.66,0.97,0.76,0.3,0.56,0.89,0.42,0.68,0.81,0.46,0.63,0.94,1.06,0.9,0.33,0.68,0.38,0.52,0.34,0.85,0.09
Proteobacteria,Alphaproteobacteria,Caulobacterales,0.09,0.06,0.06,0.14,0.13,0.06,0.08,0.13,0.31,0.06,0.06,0.17,0.64,0.73,0.1,0.37,0.14,0.07,0.14,0.24,0.29,0.15,0.23,0.69,0.72,0.49,0.63,0.56,0.4,0.2,0.12,0.35,0.19,0.33,0.38,0.26,0.35,0.22,0.26,0.16,0.26,0.22,0.55,0.08,0.17,0.21,0.15,0.22,0.31,0.16,0.25,0.3,0.37,0.36,0.14,0.41,0.2,0.25,0.15,0.21,0.03
Proteobacteria,Alphaproteobacteria,Sphingomonadales,0.1,0.06,0.04,0.14,0.04,0.04,0.05,0.07,0.08,0.06,0.08,0.13,0.25,0.28,0.13,0.41,0.34,0.06,0.12,0.44,0.41,0.19,0.3,0.34,0.52,0.33,0.46,0.4,0.2,0.21,0.17,0.38,0.34,0.36,0.47,0.32,0.46,0.33,0.43,0.23,0.31,0.39,0.53,0.15,0.21,0.33,0.18,0.24,0.3,0.2,0.3,0.2,0.48,0.37,0.09,0.36,0.2,0.23,0.23,0.39,0.03
Proteobacteria,Alphaproteobacteria,Rhodospirillales,0.04,0.03,0.06,0.05,0.03,0.03,0.02,0.1,0.2,0.05,0.04,0.04,0.05,0.1,0.03,0.19,0.12,0.03,0.04,0.24,0.16,0.07,0.11,0.14,0.16,0.11,0.16,0.14,0.08,0.06,0.05,0.09,0.1,0.12,0.16,0.12,0.15,0.07,0.22,0.1,0.11,0.16,0.13,0.06,0.07,0.12,0.07,0.09,0.11,0.08,0.21,0.07,0.12,0.09,0.02,0.11,0.03,0.06,0.03,0.12,0.01
Proteobacteria,Betaproteobacteria,Burkholderiales,0.33,0.19,0.19,0.28,0.16,0.15,0.25,0.26,0.72,0.3,0.64,0.37,0.54,0.69,0.46,3.05,2.23,0.43,0.3,1.03,1.05,0.58,0.63,1.1,1.5,0.93,1.01,1.02,1.43,0.57,0.56,0.75,1.2,0.75,1.46,0.75,0.88,0.58,0.91,0.54,0.84,0.84,1.23,0.66,0.59,0.81,0.5,0.61,0.68,0.64,0.85,0.56,1.52,0.74,0.84,0.92,0.42,1.07,0.9,0.71,0.17
Proteobacteria,Betaproteobacteria,Neisseriales,0.39,0.33,0.25,0.38,0.13,0.15,0.58,0.39,0.19,0.23,1.21,0.26,0.4,0.21,0.23,0.07,0.1,0.02,0.33,0.18,0.21,0.85,0.49,0.59,1.17,0.36,0.49,0.44,1.74,0.29,0.24,0.37,0.35,0.27,0.26,0.28,0.3,0.55,0.3,0.1,0.22,0.31,0.49,0.16,0.23,0.62,0.3,0.87,2.03,0.31,0.45,0.32,0.54,0.51,0.49,0.26,0.3,0.35,0.19,0.03,0.2
Proteobacteria,Deltaproteobacteria,Myxococcales,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.06,0.06,0.02,0.01,0.17,0.15,0.02,0.03,0.03,0.07,0.03,0.04,0.05,0.01,0.03,0.01,0.1,0.02,0.03,0.06,0.04,0.19,0.03,0.21,0.09,0.13,0.12,0.02,0.06,0.04,0.05,0.03,0.04,0.14,0.04,0.03,0.04,0.08,0.03,0.08,0.05,0.03,0.01,0,0.32,0.01
Proteobacteria,Epsilonproteobacteria,Campylobacterales,0.02,0.01,0,0.01,0,0.01,0.03,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0,0.01,0.03,0.06,0.09,0.03,0.13,0.04,0.05,0.05,0.11,0.03,0.07,0.1,0.02,0.14,0.05,0.06,0.07,0.02,0.03,0.04,0.02,0.07,0.02,0.09,0.04,0.02,0.04,0.05,0.18,0.06,0.17,0.09,0.06,0.03,0.03,0.11,0.08,0.04,0.05,0.08,0.01,0.02
Ascomycota,Eurotiomycetes,Eurotiales,1.61,1.3,0.45,0.92,0.48,0.61,0.19,0.21,0.41,2.15,1.15,3.75,2.05,3.95,3.13,37.17,17.23,2.19,1.29,1.72,8.61,0.8,0.56,0.29,0.8,0.48,1.05,0.35,0.98,1.19,0.68,3.74,2.07,1.46,1.46,2.22,1.34,1.83,1.3,50.6,1.34,2.77,1.52,1.76,1.08,0.79,0.91,0.35,2.9,2.22,0.25,0.46,0.7,0.66,0.68,0.66,0.66,0.28,0.65,3.07,0.28
Ascomycota,Dothideomycetes,Pleosporales,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.05,0.06,0.02,0.02,0.03,0.04,0.25,0.69,0.04,0.02,0.73,0.78,0.2,0.21,0.09,0.07,0.08,0.24,0.13,0.17,0.15,0.13,0.13,0.23,0.12,0.18,0.24,0.25,0.27,0.71,0.35,0.35,0.3,0.47,0.38,0.44,0.19,0.36,0.28,0.23,0.28,0.14,0.28,0.12,0.06,0.1,0.12,0.08,0.2,0.11,2.23,0.07
Ascomycota,Leotiomycetes,Helotiales,0.01,0.01,0,0,0,0,0.05,0,0.01,0.02,0.02,0,0.01,0,0.06,1,2.77,0.13,0.06,0.35,0.48,0.01,0.02,0.24,0,0,0.32,0.01,0.46,0.2,0.11,0.22,0.04,0.01,0.37,0.21,0.4,0.36,0.38,0.18,0.14,0.27,1.02,0.06,0.12,0.02,0.16,0.06,0.02,0.02,0.05,0,0.03,0.04,0.17,0.04,0.21,0.07,0.08,1.32,0.2
Ascomycota,Saccharomycetes,Saccharomycetales,0.2,0.19,0.16,0.2,0.17,0.13,0.12,0.39,0.14,0.21,0.17,0.16,0.1,0.19,0.18,0.07,0.03,0.01,0.11,0.17,0.19,0.21,0.25,0.26,0.2,0.1,0.24,0.12,0.14,0.18,0.3,0.2,0.21,0.14,0.16,0.23,0.25,0.27,0.12,0.11,0.31,0.15,0.2,0.32,0.32,0.15,0.31,0.31,0.16,0.25,0.18,0.21,0.22,0.14,0.2,0.16,0.15,0.19,0.3,0.03,0
Ascomycota,Saccharomycetes,mitosporic_Saccharomycetales,0.43,0.17,0.07,0.18,0.18,0.09,0.11,0.12,0.09,0.71,0.09,0.07,0.07,0.13,0.18,0.05,0.02,0.01,0.03,0.04,0.06,0.08,0.09,0.06,0.07,0.02,0.04,0.01,0.22,0.07,0.18,0.06,0.11,0.05,0.08,0.13,0.05,0.12,0.02,0.04,0.08,0.04,0.08,0.11,0.13,0.05,0.18,0.07,0.07,0.1,0.09,0.09,0.06,0.03,0.25,0.06,0.03,0.04,0.13,0.03,0
Ascomycota,Sordariomycetes,Sordariales,0.03,0.02,0,0.01,0,0,0,0,0.01,0,0,0.01,0.02,0.02,0.01,0.09,0.38,0.01,0.01,0.12,0.13,0.01,0.06,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.05,0.04,0.03,0.03,0.02,0.06,0.06,0.02,0.07,0.14,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0,0.02,0.01,0.04,0.03,0.26,0
Ascomycota,Sordariomycetes,Hypocreales,0.01,0.01,0,0.02,0,0,0,0.01,0,0.02,0.01,0.01,0.24,0.26,0.03,0.1,0.16,0.02,0.02,0.05,0.07,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.04,0.04,0.04,0.02,0.05,0.03,0.04,0.06,0.02,0.03,0.04,0.05,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.07,0.02,0.04,0.02,0.05,0.06,0
Bacteroidetes,Bacteroidia,Bacteroidales,2.63,1.03,0.32,0.53,0.18,0.45,2.27,1.64,1,2.88,3.13,4.18,3.25,2.63,1.44,0.45,0.69,0.71,14.58,1.61,2.7,3.56,4.11,3.88,2.06,2.82,2.3,3.11,2.16,2.88,7.11,2.28,2.69,1.76,1.93,1.82,2.07,6.86,1.36,1.55,2.27,1.95,2.7,4.41,5.58,3.62,4.61,3.33,3.92,2.6,2.45,4.69,2.58,4.18,4.93,3.93,10.69,3.41,3.68,0.32,1.94
Bacteroidetes,Flavobacteriia,Flavobacteriales,0.13,0.05,0.04,0.05,0.02,0.03,0.06,0.08,0.09,0.09,0.23,0.04,0.09,0.05,0.06,0.08,0.09,0.02,0.07,0.09,0.16,0.26,0.12,0.16,0.09,0.08,0.11,0.08,0.15,0.12,0.21,0.07,0.14,0.1,0.12,0.09,0.13,0.23,0.09,0.06,0.15,0.09,0.23,0.19,0.14,0.13,0.18,0.16,0.11,0.15,0.17,0.2,0.12,0.14,0.32,0.12,0.17,0.13,0.08,0.18,0.03
Basidiomycota,Ustilaginomycetes,Ustilaginales,0.18,0.07,0.05,0.01,0.01,0.03,0.02,0.01,0.01,0.05,0.35,0.01,0.01,0,0.01,0.05,0.22,0,0.01,3.1,5.03,0.06,0.04,0.02,0.01,0.03,0.02,0.02,0.05,0.01,0.06,0.01,0.04,0.01,0.02,0.01,0.13,0.33,3.35,1.84,0.18,3.3,0.31,0.65,0.2,0.08,0.15,0.09,0.05,0.09,0.04,0.07,0.02,0.01,0.04,0.04,0.02,0.02,0.07,3.11,0.11
Basidiomycota,Malasseziomycetes,Malasseziales,0.66,0.39,0.93,0.84,0.26,0.5,0.57,0.34,0.24,0.59,0.41,0.46,0.37,0.44,0.42,0.08,0.1,0.04,0.23,0.09,0.08,0.12,0.19,0.16,0.12,0.18,0.22,0.16,0.35,0.18,0.16,0.17,0.26,0.2,0.24,0.28,0.16,0.16,0.11,0.08,0.16,0.18,0.13,0.55,0.23,0.13,0.21,0.21,0.19,0.19,0.2,0.18,0.17,0.11,0.21,0.18,0.15,0.12,0.26,0.01,0.01
Basidiomycota,Agaricomycetes,Polyporales,0.01,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0,0.57,0.67,0.09,0.01,0.04,0.06,0,0,0.07,0.15,0.13,0.23,0.16,0.36,0.01,0.01,0,0.02,0.01,0.01,0.02,0.01,0.04,0.03,0.02,0.02,0.03,0.1,0.01,0,0,0.01,0,0,0,0,0,0.01,0.05,0.02,0.11,0.04,0.03,0,0.04,0
Fusobacteria,Fusobacteriia,Fusobacteriales,0.12,0.15,0.04,0.03,0.02,0.03,0.14,0.05,0.14,0.09,0.34,0.04,0.1,0.03,0.07,0.02,0.01,0.01,0.05,0.04,0.09,0.19,0.2,0.17,0.05,0.05,0.07,0.04,0.03,0.1,0.25,0.05,0.16,0.07,0.06,0.06,0.04,0.17,0.04,0.02,0.12,0.05,0.17,0.32,0.07,0.08,0.2,0.13,0.09,0.12,0.1,0.13,0.09,0.09,0.16,0.09,0.19,0.13,0.08,0,0.04
Cyanobacteria,Fusobacteriia,Chroococcales,0.01,0,0.01,0,0,0.01,0.01,0.02,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.97,1.63,0.29,0.01,0.15,0.14,0.02,0.03,0.03,0.06,0.02,0.03,0.02,0.01,0.02,0.01,0.04,0.04,0.03,0.09,0.05,0.03,0.04,0.15,0.05,0.07,0.04,0.1,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.05
Cyanobacteria,Fusobacteriia,Nostocales,0,0,0.05,0,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0.01,0.47,0.06,0.05,0.07,0.05,0.04,0.04,0.03,0.02,0.04,0.06,0.09,0.05,0.12,0.06,0.06,0.08,0.04,0.06,0.04,0.04,0.05,0.02,0.22,0.03,0.09,0.05,0.08,0.04,0.05,0.04,0.02,0.11,0.04,0.03,0.5,0.05,0.09,0.06,0.18,0.15,0
Cyanobacteria,Fusobacteriia,Oscillatoriales,0,0,0,0,0,0,0.01,0.76,0.01,0.01,0,0,0.05,0,0.03,0,0,0,0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.1,0.02,0.07,0.5,0.1,0.02,0.25,0.03,0.02,0.01,0.04,0,0.01,0.01,0.02,0.01,0.02,0.03,0.01,0.07,0.02,0.01,0.02,0.03,0.04,0.01,0.01,0.03,0.03,0.02,0.05,0,0
Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,0.03,0.02,0.01,0.01,0.01,0.03,0.11,0.04,0.02,0.32,0.09,0.3,0.04,0.07,0.02,0.01,0.04,0.01,0.02,0.02,0.02,0.03,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0.02,0.02,0.51,0.02,0.02,0.02,0.01,0.17,0.68,0.03,0.03,0.02,0.04,0.17,0.02,0.04,0.03,0.01,0.23,0.21,0.04,0.1,0.06,0.02,0.02,0.06
Viruses,dsDNA_viruses,Caudovirales,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.05,0.06,0.04,0.05,0.04,0.03,0.23,0.43,0.09,0.03,0.03,0.04,0.04,0.04,0.1,0.05,0.05,0.06,0.05,0.06,0.05,0.07,0.04,0.05,0.04,0.05,0.06,0.04,0.07,0.03,0.02,0.07,0.03,0.06,0.06,0.05,0.03,0.08,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.14,0.05,0.06,0.09,0.01,0.11,0.01
Other,Other,Other,0.28,0.19,0.22,0.26,0.08,0.1,0.13,0.21,0.15,0.26,0.28,0.32,0.22,0.33,0.19,1.48,3.34,0.29,0.18,1.07,1.02,0.37,0.52,0.41,0.44,0.42,0.52,0.47,0.42,0.45,0.37,0.45,0.54,0.56,0.73,0.56,0.51,0.5,0.95,0.49,0.77,0.71,0.91,0.66,0.57,0.53,0.55,0.41,0.51,0.39,0.36,0.57,0.43,0.39,0.4,0.61,0.37,0.29,0.75,1.72,0.79
